grid,hint_facts,hint_constraints,hint_derived,number_constraints,number_facts,number_block_cons,number_col_cons,number_row_cons,adjacent_row_used,adjacent_col_used,adjacent_block_used,other_row_cons,other_col_cons,other_block_cons,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,number_adjacent_block_facts,number_adjacent_col_facts,number_adjacent_constraints,number_adjacent_facts,number_adjacent_row_facts,number_other_constraints,number_other_facts,time,obj_value
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 0 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [3, 4, 3]], ['FACT', [6, 6, 3]], ['FACT', [8, 2, 3]]]","[['ROW', 8], ['ROW', 6], ['COL', 5], ['COL', 4], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [7, 3, 3]]",5,4,1,2,2,0,0,1,2,2,0,0,4,0,0,0,1,0,0,4,4,10.806063652038574,34.02
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 0 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [2, 1, 8]], ['FACT', [5, 8, 8]], ['FACT', [8, 7, 8]]]","[['ROW', 2], ['COL', 8], ['COL', 7], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 6, 8]]",4,4,1,2,1,0,0,1,1,2,0,1,3,0,1,1,1,1,0,3,3,15.288597345352173,133.12
"[[0 0 2 0 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [1, 6, 8]], ['FACT', [2, 1, 8]], ['FACT', [3, 3, 4]], ['FACT', [4, 3, 9]], ['FACT', [5, 8, 8]], ['FACT', [6, 4, 8]], ['FACT', [7, 3, 3]], ['FACT', [8, 7, 8]]]","[['ROW', 5], ['ROW', 1], ['ROW', 8], ['ROW', 2], ['ROW', 6], ['COL', 3]]","['DERIVED', [0, 3, 8]]",6,8,0,1,5,0,1,0,5,0,0,3,5,0,0,3,1,3,0,5,5,14.059910535812378,306.08
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 0]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [0, 8, 6]], ['FACT', [3, 0, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 5], ['ROW', 7], ['ROW', 1], ['ROW', 8], ['ROW', 4], ['ROW', 2], ['ROW', 3], ['ROW', 6], ['COL', 8], ['COL', 5], ['COL', 3], ['COL', 2], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [4, 8, 5]]",13,8,1,4,8,1,1,1,7,3,0,1,4,3,0,1,3,1,0,10,7,21.206939697265625,175.09
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 0 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [1, 4, 7]], ['FACT', [1, 5, 9]], ['FACT', [2, 6, 2]]]","[['ROW', 0], ['ROW', 2], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [1, 3, 2]]",3,4,1,0,2,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,22.571935415267944,232.22
"[[0 0 2 8 0 3 9 0 6]
 [0 0 0 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [1, 3, 2]], ['FACT', [1, 5, 9]], ['FACT', [3, 0, 5]], ['FACT', [4, 8, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 5], ['ROW', 7], ['ROW', 8], ['ROW', 4], ['ROW', 2], ['ROW', 3], ['ROW', 6], ['COL', 5], ['COL', 3], ['COL', 2]]","['DERIVED', [1, 2, 5]]",10,10,0,3,7,0,1,0,7,2,0,3,5,2,1,1,1,3,2,9,7,18.959188222885132,366.18
"[[0 0 2 8 0 3 9 0 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [1, 2, 5]], ['FACT', [3, 0, 5]], ['FACT', [4, 8, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 5], ['ROW', 7], ['ROW', 1], ['ROW', 8], ['ROW', 4], ['ROW', 2], ['ROW', 3], ['ROW', 6], ['COL', 5], ['COL', 3], ['COL', 7]]","['DERIVED', [0, 7, 5]]",11,8,0,3,8,0,1,0,8,2,0,2,6,0,0,0,1,2,2,10,6,16.213913917541504,247.08
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 0 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 5, 9]], ['FACT', [3, 3, 4]], ['FACT', [8, 4, 4]]]","[['COL', 4], ['COL', 3], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 5, 4]]",3,4,1,2,0,0,0,1,0,2,0,2,2,0,2,2,1,2,0,2,2,20.085734844207764,232.22
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [0, 7, 5]], ['FACT', [1, 2, 5]], ['FACT', [2, 5, 4]], ['FACT', [3, 0, 5]], ['FACT', [4, 8, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 0], ['ROW', 5], ['ROW', 7], ['ROW', 1], ['ROW', 4], ['ROW', 3], ['ROW', 6], ['COL', 5]]","['DERIVED', [8, 5, 5]]",8,8,0,1,7,0,1,0,7,0,0,1,7,0,0,1,1,1,0,7,7,7.028470754623413,108.08
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 0 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 0 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 7, 5]], ['FACT', [1, 2, 5]], ['FACT', [3, 0, 5]], ['FACT', [4, 8, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]], ['FACT', [8, 5, 5]]]","[['ROW', 0], ['ROW', 5], ['ROW', 7], ['ROW', 1], ['ROW', 8], ['ROW', 4], ['ROW', 3], ['ROW', 6], ['COL', 3]]","['DERIVED', [2, 3, 5]]",9,8,0,1,8,0,1,0,8,0,0,0,8,0,0,0,1,0,0,8,8,5.65737771987915,9.08
