,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,0.18154761904761885,1.8333333333333333,2.58974358974359,2.501,0.5,3.0,4.0625,3.9791666666666665,1.126,0.001,1.8166666666666669,0.08433333333333332,Starting
1,0.6666666666666666,0.5,1.0,-1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.0,0.5,Difference
2,0.5148809523809521,2.083333333333333,3.08974358974359,2.001,1.0,3.5,4.5625,4.479166666666666,1.501,0.501,1.8166666666666669,0.3343333333333333,Final
3,0.5148809523809521,2.083333333333333,3.08974358974359,2.001,1.0,3.5,4.5625,4.479166666666666,1.501,0.501,1.8166666666666669,0.3343333333333333,Starting
4,-0.5714285714285714,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,-0.4,Difference
5,0.2291666666666664,2.083333333333333,3.08974358974359,1.501,1.5,3.5,4.5625,4.479166666666666,1.501,0.16766666666666669,1.8166666666666669,0.1343333333333333,Final
6,0.2291666666666664,2.083333333333333,3.08974358974359,1.501,1.5,3.5,4.5625,4.479166666666666,1.501,0.16766666666666669,1.8166666666666669,0.1343333333333333,Starting
7,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,Difference
8,0.6041666666666664,2.083333333333333,3.08974358974359,1.501,1.5,3.5,4.5625,4.479166666666666,1.501,0.6676666666666666,1.8166666666666669,0.3843333333333333,Final
9,0.6041666666666664,2.083333333333333,3.08974358974359,1.501,1.5,3.5,4.5625,4.479166666666666,1.501,0.6676666666666666,1.8166666666666669,0.3843333333333333,Starting
10,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,Difference
11,0.4374999999999998,2.083333333333333,3.08974358974359,1.501,1.5,3.5,4.5625,4.479166666666666,1.501,0.6676666666666666,1.8166666666666669,0.21766666666666665,Final
12,0.4374999999999998,2.083333333333333,3.08974358974359,1.501,1.5,3.5,4.5625,4.479166666666666,1.501,0.6676666666666666,1.8166666666666669,0.21766666666666665,Starting
13,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,Difference
