,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-0.5,1.0,1.0,-1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,Difference
2,6.0,0.001,6.0,6.0,0.001,6.0,4.75,6.0,4.75,6.0,6.0,6.0,Final
3,6.0,0.001,6.0,6.0,0.001,6.0,4.75,6.0,4.75,6.0,6.0,6.0,Starting
4,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,-1.0,0.5,-0.3333333333333333,Difference
5,6.0,2.501,11.0,6.0,0.001,6.0,7.25,8.5,7.25,1.0,8.5,4.333333333333334,Final
6,6.0,2.501,11.0,6.0,0.001,6.0,7.25,8.5,7.25,1.0,8.5,4.333333333333334,Starting
7,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Difference
8,6.0,2.501,11.0,1.0,5.001,6.0,12.25,8.5,7.25,1.0,8.5,4.333333333333334,Final
9,6.0,2.501,11.0,1.0,5.001,6.0,12.25,8.5,7.25,1.0,8.5,4.333333333333334,Starting
10,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,Difference
11,6.0,2.501,11.0,0.001,5.001,11.0,17.25,8.5,2.25,1.0,8.5,4.333333333333334,Final
12,6.0,2.501,11.0,0.001,5.001,11.0,17.25,8.5,2.25,1.0,8.5,4.333333333333334,Starting
13,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Difference
14,6.0,2.501,11.0,5.001,0.001000000000000334,11.0,17.25,13.5,2.25,1.0,8.5,4.333333333333334,Final
15,6.0,2.501,11.0,5.001,0.001000000000000334,11.0,17.25,13.5,2.25,1.0,8.5,4.333333333333334,Starting
16,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,Difference
17,6.0,2.501,11.0,5.001,0.001,16.0,17.25,18.5,0.001,1.0,8.5,4.333333333333334,Final
18,6.0,2.501,11.0,5.001,0.001,16.0,17.25,18.5,0.001,1.0,8.5,4.333333333333334,Starting
19,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,Difference
20,6.0,2.501,11.0,10.001000000000001,0.001,16.0,17.25,23.5,3.751,1.0,8.5,4.333333333333334,Final
21,6.0,2.501,11.0,10.001000000000001,0.001,16.0,17.25,23.5,3.751,1.0,8.5,4.333333333333334,Starting
22,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,-0.5,-0.2,Difference
23,6.0,2.501,16.0,10.001000000000001,5.001,16.0,17.25,23.5,3.751,3.5,6.0,3.333333333333334,Final
24,6.0,2.501,16.0,10.001000000000001,5.001,16.0,17.25,23.5,3.751,3.5,6.0,3.333333333333334,Starting
25,-0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.75,0.0,Difference
26,2.25,4.167666666666666,16.0,10.001000000000001,5.001,16.0,17.25,23.5,6.2509999999999994,3.5,2.25,3.333333333333334,Final
27,2.25,4.167666666666666,16.0,10.001000000000001,5.001,16.0,17.25,23.5,6.2509999999999994,3.5,2.25,3.333333333333334,Starting
28,-0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-0.75,0.0,0.0,Difference
29,0.001,5.834333333333333,16.0,10.001000000000001,5.001,16.0,17.25,23.5,8.751,0.001,2.25,3.333333333333334,Final
30,0.001,5.834333333333333,16.0,10.001000000000001,5.001,16.0,17.25,23.5,8.751,0.001,2.25,3.333333333333334,Starting
