,iter,norm
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 6, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 15, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 8, 'other_row_cons': 8, 'other_block_cons': 8, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 4}"
2,3,"{'number_adjacent_facts_other_value': 3, 'number_other_facts_same_value': 4, 'number_other_facts_other_value': 2, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 2, 'other_block_cons': 4, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 3}"
3,4,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
4,5,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 2}"
5,6,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
6,7,"{'number_adjacent_facts_other_value': 2, 'number_other_facts_same_value': 2, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 2}"
7,8,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 2, 'other_block_cons': 8, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
8,9,"{'number_adjacent_facts_other_value': 5, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 2, 'number_adjacent_col_facts': 2, 'number_adjacent_block_facts': 5}"
9,10,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 4, 'number_adjacent_block_facts': 1}"
10,11,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 4, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
11,12,"{'number_adjacent_facts_other_value': 4, 'number_other_facts_same_value': 3, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 2, 'other_row_cons': 1, 'other_block_cons': 2, 'number_adjacent_row_facts': 4, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
