,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 0.001, 'number_other_facts_other_value': 6.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 6.0, 'other_col_cons': 4.75, 'other_row_cons': 6.0, 'other_block_cons': 4.75, 'number_adjacent_row_facts': 6.0, 'number_adjacent_col_facts': 6.0, 'number_adjacent_block_facts': 6.0}"
2,3,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 11.0, 'adjacent_col_used': 6.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 6.0, 'other_col_cons': 7.25, 'other_row_cons': 8.5, 'other_block_cons': 7.25, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 8.5, 'number_adjacent_block_facts': 4.333333333333334}"
3,4,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 11.0, 'adjacent_col_used': 1.0, 'adjacent_row_used': 5.001, 'adjacent_block_used': 6.0, 'other_col_cons': 12.25, 'other_row_cons': 8.5, 'other_block_cons': 7.25, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 8.5, 'number_adjacent_block_facts': 4.333333333333334}"
4,5,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 11.0, 'adjacent_col_used': 0.001, 'adjacent_row_used': 5.001, 'adjacent_block_used': 11.0, 'other_col_cons': 17.25, 'other_row_cons': 8.5, 'other_block_cons': 2.25, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 8.5, 'number_adjacent_block_facts': 4.333333333333334}"
5,6,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 11.0, 'adjacent_col_used': 5.001, 'adjacent_row_used': 0.001000000000000334, 'adjacent_block_used': 11.0, 'other_col_cons': 17.25, 'other_row_cons': 13.5, 'other_block_cons': 2.25, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 8.5, 'number_adjacent_block_facts': 4.333333333333334}"
6,7,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 11.0, 'adjacent_col_used': 5.001, 'adjacent_row_used': 0.001, 'adjacent_block_used': 16.0, 'other_col_cons': 17.25, 'other_row_cons': 18.5, 'other_block_cons': 0.001, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 8.5, 'number_adjacent_block_facts': 4.333333333333334}"
7,8,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 11.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 0.001, 'adjacent_block_used': 16.0, 'other_col_cons': 17.25, 'other_row_cons': 23.5, 'other_block_cons': 3.751, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 8.5, 'number_adjacent_block_facts': 4.333333333333334}"
8,9,"{'number_adjacent_facts_other_value': 6.0, 'number_other_facts_same_value': 2.501, 'number_other_facts_other_value': 16.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 5.001, 'adjacent_block_used': 16.0, 'other_col_cons': 17.25, 'other_row_cons': 23.5, 'other_block_cons': 3.751, 'number_adjacent_row_facts': 3.5, 'number_adjacent_col_facts': 6.0, 'number_adjacent_block_facts': 3.333333333333334}"
9,10,"{'number_adjacent_facts_other_value': 2.25, 'number_other_facts_same_value': 4.167666666666666, 'number_other_facts_other_value': 16.0, 'adjacent_col_used': 10.001000000000001, 'adjacent_row_used': 5.001, 'adjacent_block_used': 16.0, 'other_col_cons': 17.25, 'other_row_cons': 23.5, 'other_block_cons': 6.2509999999999994, 'number_adjacent_row_facts': 3.5, 'number_adjacent_col_facts': 2.25, 'number_adjacent_block_facts': 3.333333333333334}"
